    87/249      1.8G   0.01498  0.003586   0.01609   0.03466       136       224    0.9229    0.9668    0.9785    0.9112   0.01611   0.01142   0.04087
    88/249      1.8G   0.01491  0.003556   0.01601   0.03447       136       224    0.9716    0.9591    0.9883    0.9081   0.01848   0.01146   0.06501
    89/249      1.8G   0.01489  0.003426   0.01588   0.03419       132       224     0.941    0.9701    0.9858    0.9081    0.0146   0.01145   0.06398
    90/249      1.8G   0.01527  0.003486   0.01566   0.03442       142       224    0.9425    0.9583    0.9804    0.9054   0.01778   0.01193   0.05813
    91/249      1.8G   0.01482  0.003647   0.01633   0.03479       116       224    0.9444    0.9651    0.9781    0.9049   0.01548   0.01096   0.06064
    92/249      1.8G   0.01453  0.003558   0.01524   0.03333       135       224    0.9791    0.9442     0.985    0.9087   0.01429   0.01103   0.06085
    93/249      1.8G   0.01457  0.003789   0.01615    0.0345       150       224    0.9317     0.951    0.9789     0.907   0.01438   0.01103   0.05421
    94/249      1.8G   0.01444  0.003527   0.01513    0.0331       140       224    0.9439     0.946    0.9777    0.9083   0.01374   0.01235   0.06615
    95/249      1.8G   0.01492  0.003614   0.01523   0.03376       132       224    0.8878     0.952    0.9728    0.8995   0.01493   0.01128   0.04371
    96/249      1.8G   0.01428  0.003838   0.01566   0.03377       130       224    0.9529    0.9075     0.976    0.8975   0.01752   0.01085   0.06244
    97/249      1.8G   0.01448  0.003791   0.01555   0.03382       134       224    0.9174    0.9478    0.9762    0.9083   0.01516   0.01149    0.0623
    98/249      1.8G   0.01438  0.003639   0.01541   0.03343       137       224    0.9585    0.9488    0.9859    0.9124   0.01547   0.01141   0.05749
    99/249      1.8G   0.01427  0.003583   0.01495    0.0328       133       224    0.8836     0.891     0.962    0.8944   0.01547   0.01128   0.08044
   100/249      1.8G   0.01432  0.003702   0.01444   0.03246       145       224    0.9375    0.9539    0.9698    0.8952   0.01452   0.01061   0.06933
   101/249      1.8G   0.01424  0.003762   0.01479   0.03279       134       224    0.9136     0.856    0.9509    0.8727   0.01648  0.009645   0.07829
   102/249      1.8G   0.01412  0.004096   0.01547   0.03368       126       224    0.9665    0.9407    0.9895    0.9198   0.01479   0.01083   0.07307
   103/249      1.8G   0.01383  0.003958   0.01469   0.03247       137       224    0.9559    0.9616    0.9758    0.9124   0.01388   0.01108    0.0932
   104/249      1.8G    0.0141  0.003821    0.0149   0.03282       130       224    0.9102    0.8436    0.9484    0.8817   0.01285  0.009838   0.06602
   105/249      1.8G   0.01376  0.003822   0.01521   0.03279       134       224     0.951    0.9623    0.9824     0.911    0.0137    0.0106   0.06811
   106/249      1.8G   0.01398  0.003654    0.0147   0.03233       122       224    0.9306    0.9332    0.9787     0.906   0.01323    0.0103   0.05805
   107/249      1.8G   0.01403    0.0035   0.01437    0.0319       119       224    0.9422    0.9874    0.9929    0.9221   0.01375    0.0113   0.05542
   108/249      1.8G   0.01402  0.003545   0.01453   0.03209       128       224    0.9641    0.9797    0.9918    0.9268   0.01331   0.01029   0.05541
   109/249      1.8G   0.01391  0.003587   0.01404   0.03153       133       224    0.9778    0.9881    0.9922    0.9251    0.0135   0.01005    0.0515
   110/249      1.8G   0.01363  0.003541    0.0136   0.03076       130       224    0.9698     0.949    0.9888    0.9207   0.01302   0.01107   0.05592
   111/249      1.8G   0.01387  0.003502   0.01426   0.03163       139       224    0.9617    0.9531    0.9841    0.9072   0.01341  0.009783   0.07662
   112/249      1.8G   0.01359  0.003595   0.01459   0.03177       114       224    0.9515    0.9604    0.9864    0.9194   0.01453   0.01075   0.08012
   113/249      1.8G   0.01373  0.003408   0.01393   0.03107       141       224    0.9271    0.9672    0.9778    0.9089   0.01396   0.01172    0.0668
   114/249      1.8G   0.01312  0.003887   0.01317   0.03017       135       224    0.9226    0.9566    0.9717    0.8976   0.01244   0.01126   0.09423
   115/249      1.8G   0.01401  0.003775   0.01429   0.03207       140       224    0.9229    0.9714    0.9801    0.9214   0.01447   0.01267   0.08744
   116/249      1.8G    0.0134  0.003492   0.01425   0.03114       118       224    0.9543     0.961    0.9843    0.9135   0.01328   0.01067   0.07581
   117/249      1.8G   0.01366  0.003485   0.01301   0.03016       140       224    0.9393    0.9548    0.9767    0.9114   0.01238   0.01053   0.06512
   118/249      1.8G   0.01344  0.003369   0.01315   0.02995       142       224    0.9537    0.9473    0.9847    0.9131   0.01353   0.01104    0.0585
   119/249      1.8G   0.01358  0.003723    0.0142    0.0315       146       224    0.9312    0.9362    0.9664    0.8921   0.01275   0.01048   0.07664
   120/249      1.8G   0.01341  0.003795   0.01441   0.03161       145       224    0.9571    0.9371    0.9788    0.9102   0.01206   0.01081   0.08331
   121/249      1.8G   0.01333  0.003644   0.01296   0.02993       149       224    0.9359    0.9518    0.9847    0.9182   0.01254   0.01192   0.09619
   122/249      1.8G   0.01278  0.003801   0.01311   0.02969       137       224    0.8958    0.9558    0.9611    0.8898   0.01208   0.01204    0.1032
   123/249      1.8G   0.01344  0.003744   0.01346   0.03065       139       224    0.9846    0.9136    0.9837    0.9121   0.01305   0.01077   0.07816
   124/249      1.8G   0.01346  0.003572   0.01309   0.03012       144       224    0.9494    0.9761    0.9868    0.9207    0.0129   0.01106   0.07379
