               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
64,0.65472,0.73771,1.1856,0.94978,0.96699,0.98713,0.9215,0.928063,0.47668,0.33913,1.0989,0.0075052,0.0075052,0.0075052
59,0.65418,0.72417,1.17,0.956,0.94907,0.98423,0.92158,0.927845,0.50991,0.35339,1.1313,0.0077032,0.0077032,0.0077032
91,0.62879,0.67504,1.1759,0.91161,0.95513,0.98387,0.92159,0.927818,0.48415,0.3501,1.0992,0.006436,0.006436,0.006436
67,0.64311,0.72601,1.1746,0.93324,0.9345,0.98164,0.9199,0.926074,0.48594,0.38294,1.1025,0.0073864,0.0073864,0.0073864
96,0.62323,0.65316,1.1592,0.94501,0.9368,0.98466,0.91846,0.92508,0.47755,0.35793,1.1045,0.006238,0.006238,0.006238
75,0.63614,0.69607,1.1687,0.93339,0.94277,0.98298,0.91851,0.924957,0.49274,0.33657,1.1108,0.0070696,0.0070696,0.0070696
85,0.63427,0.68192,1.1678,0.94408,0.94897,0.98298,0.91841,0.924867,0.48437,0.32933,1.1066,0.0066736,0.0066736,0.0066736
69,0.64541,0.71753,1.1806,0.95036,0.91291,0.98497,0.91631,0.923176,0.49827,0.38738,1.1228,0.0073072,0.0073072,0.0073072
61,0.65318,0.73016,1.1757,0.94238,0.89134,0.97228,0.91714,0.922654,0.48239,0.43364,1.1064,0.007624,0.007624,0.007624
55,0.66517,0.74308,1.1843,0.96557,0.90026,0.98401,0.91518,0.922063,0.51414,0.38935,1.1324,0.0078616,0.0078616,0.0078616
58,0.67126,0.76527,1.1844,0.95857,0.90058,0.98258,0.91298,0.91994,0.5046,0.37431,1.1172,0.0077428,0.0077428,0.0077428
82,0.63324,0.67978,1.171,0.9245,0.93639,0.97362,0.91389,0.919863,0.46281,0.35929,1.0915,0.0067924,0.0067924,0.0067924
56,0.66043,0.75152,1.1823,0.95785,0.91862,0.97753,0.91308,0.919525,0.51986,0.39169,1.1253,0.007822,0.007822,0.007822
63,0.65132,0.73263,1.1742,0.90071,0.91338,0.97546,0.91199,0.918337,0.49376,0.47464,1.1164,0.0075448,0.0075448,0.0075448
45,0.68699,0.80102,1.1952,0.95475,0.93023,0.97526,0.91172,0.918074,0.47178,0.37484,1.0977,0.0082576,0.0082576,0.0082576
80,0.63654,0.69179,1.1726,0.93864,0.95909,0.97928,0.91065,0.917513,0.47912,0.38154,1.1102,0.0068716,0.0068716,0.0068716
77,0.62977,0.69641,1.1712,0.93707,0.93633,0.9808,0.91003,0.917107,0.50087,0.35517,1.1173,0.0069904,0.0069904,0.0069904
70,0.65086,0.72333,1.18,0.94297,0.94846,0.976,0.91034,0.916906,0.48115,0.39646,1.109,0.0072676,0.0072676,0.0072676
57,0.67519,0.75584,1.1871,0.90488,0.9474,0.96727,0.91061,0.916276,0.47401,0.38782,1.1014,0.0077824,0.0077824,0.0077824
49,0.68766,0.80387,1.1855,0.92945,0.91205,0.97322,0.90842,0.9149,0.5081,0.43419,1.1331,0.0080992,0.0080992,0.0080992
60,0.64839,0.7311,1.1731,0.94047,0.94699,0.97726,0.90683,0.913873,0.48419,0.37086,1.1101,0.0076636,0.0076636,0.0076636
46,0.66726,0.77066,1.1793,0.93389,0.93177,0.97143,0.90646,0.912957,0.48736,0.40312,1.109,0.008218,0.008218,0.008218
42,0.69028,0.82361,1.2044,0.93318,0.90983,0.96775,0.90523,0.911482,0.48654,0.392,1.1055,0.0083764,0.0083764,0.0083764
68,0.64196,0.72352,1.1762,0.87794,0.91003,0.96376,0.90336,0.9094,0.46015,0.50619,1.0909,0.0073468,0.0073468,0.0073468
43,0.68732,0.81886,1.1944,0.92758,0.90438,0.96213,0.90283,0.90876,0.46939,0.4332,1.1007,0.0083368,0.0083368,0.0083368
47,0.6757,0.79272,1.1926,0.92149,0.92816,0.96593,0.90235,0.908708,0.47983,0.41864,1.1119,0.0081784,0.0081784,0.0081784
79,0.63378,0.6946,1.1706,0.89677,0.95195,0.96165,0.90275,0.90864,0.45206,0.37134,1.0887,0.0069112,0.0069112,0.0069112
41,0.68763,0.82082,1.203,0.9536,0.89267,0.96946,0.89989,0.906847,0.50175,0.4143,1.116,0.008416,0.008416,0.008416
52,0.67335,0.76206,1.185,0.93321,0.90108,0.96657,0.90017,0.90681,0.47835,0.40813,1.0982,0.0079804,0.0079804,0.0079804
37,0.69387,0.81811,1.1943,0.91929,0.89166,0.96435,0.89559,0.902466,0.50381,0.45291,1.1196,0.0085744,0.0085744,0.0085744
51,0.65972,0.75253,1.1825,0.91706,0.90547,0.95954,0.89481,0.901283,0.50444,0.53436,1.1242,0.00802,0.00802,0.00802
39,0.70172,0.84669,1.2087,0.93193,0.89241,0.96041,0.89414,0.900767,0.47555,0.4248,1.1043,0.0084952,0.0084952,0.0084952
